MedCodeId	Term	product	given	booster	measles	history	not_received
3513576014	Measles vaccination given		1		1		
3518069010	Mumps vaccination given		1				
3518070011	Vaccination for mumps given		1				
2732881000000113	Combined measles and rubella vaccination	1			1		
105925401000001111	"Measles, Mumps and Rubella vaccine (live) powder and solvent for solution for injection 0.5ml pre-filled syringes 1 pre-filled disposable injection"	1			1		
105916601000001113	Priorix vaccine powder and solvent for solution for injection 0.5ml pre-filled syringes (GlaxoSmithKline UK Ltd)	1			1		
105928001000001110	Priorix vaccine powder and solvent for solution for injection 0.5ml pre-filled syringes (GlaxoSmithKline UK Ltd) 1 pre-filled disposable injection	1			1		
105914201000001117	"Measles, Mumps and Rubella vaccine (live) powder and solvent for solution for injection 0.5ml pre-filled syringes"	1			1		
11803821000006115	M-M-R II vaccine powder and solvent for solution for injection 0.5ml vials (Merck Sharp & Dohme Ltd)	1			1		
11803831000006117	M-M-R II vaccine powder and solvent for solution for injection 0.5ml vials (Merck Sharp & Dohme Ltd) 1 vial	1			1		
11910771000006112	[V]Measles vaccination	1			1		
11910781000006110	[V]Measles-mumps-rubella (MMR) vaccination	1			1		
11910871000006115	[V]Mumps vaccination	1			1		
11912741000006115	[V]Rubella vaccination	1					
11925031000006114	MR - Measles/rubella vaccination	1			1		
11925191000006114	Measles/rubella vaccination	1			1		
12113891000006110	Administration of measles + mumps + rubella live vaccine		1		1		
12113931000006118	Administration of measles + mumps + rubella + varicella live vaccine		1		1		
12680531000006116	"Second MMR (measles, mumps and rubella) vaccination"	1			1		
7164051000006114	"Administration of measles, mumps, rubella, and varicella vaccine"		1		1		
7183391000006116	"Administration of second measles, mumps, rubella, and varicella vaccine"		1		1		
8201421000006119	Administration of measles live vaccine		1		1		
9400921000006119	Attenuvax powder and solvent for solution for injection vials (Imported (United States))	1			1		
9400931000006116	Attenuvax powder and solvent for solution for injection vials (Imported (United States)) 10 vial	1			1		
8676151000006118	Ervevax vaccine powder and solvent for solution for injection 0.5ml vials (GlaxoSmithKline UK Ltd)	1			1		
8676161000006116	Ervevax vaccine powder and solvent for solution for injection 0.5ml vials (GlaxoSmithKline UK Ltd) 1 vial	1			1		
3839091000006110	German measles immunization	1					
3839111000006118	German measles immunisation	1					
6448631000006112	German measles vaccine	1					
6569461000006114	German measles vaccine	1					
7231781000006110	Live measles + rubella vaccine injection dose form	1			1		
3266951000006111	Measles immunization	1			1		
3266971000006118	Measles immunisation	1			1		
3493691000006115	Measles + Mumps + Rubella vaccine	1			1		
3493701000006115	"Measles, mumps and rubella vaccine"	1			1		
